m/z,intensity,
500,4981025457,
505.5,5866520317,
511,6731900433,
516.5,7577034393,
522,8401727674,
527.5,9205775198,
533,9988985415,
538.5,10751182519,
544,11492205438,
549.5,12211908981,
555,12910161943,
560.5,13586848882,
566,14241875421,
571.5,14875164592,
577,15486655727,
582.5,16076309154,
588,16644105599,
593.5,17190042363,
599,17714133979,
604.5,18216412555,
610,18696925910,
615.5,19155742229,
621,19592946250,
626.5,20008643923,
632,20402960629,
637.5,20776039332,
643,21128040179,
648.5,21459139815,
654,21769541000,
659.5,22059473483,
665,22329178908,
670.5,22578877103,
676,22808784850,
681.5,23019126301,
687,23210125624,
692.5,23381994933,
698,23534921874,
703.5,23669045328,
709,23784428403,
714.5,23881032241,
720,23958670653,
725.5,24016939602,
731,24055114303,
736.5,24071977062,
742,24065575189,
747.5,24032878947,
753,23969310739,
758.5,23868290668,
764,23721292188,
769.5,23519674443,
775,23228118825,
780.5,22906796793,
786,22558840693,
791.5,22188113403,
797,21797418637,
802.5,21389056097,
808,20965281997,
813.5,20528355682,
819,20080458166,
824.5,19623698664,
830,19160004198,
835.5,18691054070,
841,18218491196,
846.5,17743721078,
852,17267913382,
857.5,16792193478,
863,16317671777,
868.5,15845460120,
874,15376737102,
879.5,14912681752,
885,14454319592,
890.5,14002729817,
896,13558807321,
901.5,13123461186,
907,12697561856,
912.5,12281818822,
918,11876730096,
923.5,11482563593,
929,11099824274,
934.5,10729452261,
940,10372463163,
945.5,10028831328,
951,9698077619,
956.5,9379738109,
962,9073386432,
967.5,8778590148,
973,8494978128,
978.5,8222063138,
984,7959121863,
989.5,7705285625,
995,7459632084,
1000.5,7221247634,
1006,6989400733,
1011.5,6763460320,
1017,6542977468,
1022.5,6327940168,
1028,6118685578,
1033.5,5915579124,
1039,5718290583,
1044.5,5526125166,
1050,5338364783,
1055.5,5154534316,
1061,4974690705,
1066.5,4799349795,
1072,4628894764,
1077.5,4463586028,
1083,4303518001,
1088.5,4148326100,
1094,3997564286,
1099.5,3850939830,
1105,3708478858,
1110.5,3570482591,
1116,3437173167,
1121.5,3308811389,
1127,3185848750,
1132.5,3068366765,
1138,2956085193,
1143.5,2848577165,
1149,2745513207,
1154.5,2646536487,
1160,2551266024,
1165.5,2459532015,
1171,2371159281,
1176.5,2285914109,
1182,2203665334,
1187.5,2124251644,
1193,2047530776,
1198.5,1973507516,
1204,1902259383,
1209.5,1833816130,
1215,1768192938,
1220.5,1705343528,
1226,1645048860,
1231.5,1587128929,
1237,1531477105,
1242.5,1478150497,
1248,1427140870,
1253.5,1378394542,
1259,1331960986,
1264.5,1287864081,
1270,1245978216,
1275.5,1206047402,
1281,1167755517,
1286.5,1130805154,
1292,1095029693,
1297.5,1060411369,
1303,1027034800,
1308.5,994997049.8,
1314,964333522.5,
1319.5,935021024.6,
1325,906951849.6,
1330.5,875729361.3,
1336,845069140.5,
1341.5,814913703.6,
1347,785261096.5,
1352.5,756148216.8,
1358,727625462.4,
1363.5,699739336.5,
1369,672529530.2,
1374.5,646028246.3,
1380,620259652.6,
1385.5,595241006.6,
1391,570984057.1,
1396.5,547496274.2,
1402,524782537.4,
1407.5,502845282.2,
1413,481684683.3,
1418.5,461298618.9,
1424,441682823.7,
1429.5,422832597.1,
1435,404743354.5,
1440.5,387410692,
1446,370830625,
1451.5,354999330.9,
1457,339913122.4,
1462.5,325568765.4,
1468,311963613.4,
1473.5,299095523.9,
1479,286962750.8,
1484.5,275563898.5,
1490,264897752.9,
1495.5,254963365.3,
1501,245760073.7,
1506.5,237287354.8,
1512,229544365.5,
1517.5,222529671.6,
1523,216241765.3,
1528.5,210679136.4,
1534,205840473.5,
1539.5,201724660.3,
1545,198330549.4,
1550.5,195656994.2,
1556,193702532.7,
1561.5,192465603.8,
1567,191944721.5,
1572.5,192138361.1,
1578,193045027.7,
1583.5,194663135.1,
1589,196991206,
1594.5,200027880.8,
