m/z,intensity
500,1.19598E+11
505.5,1.40906E+11
511,1.61711E+11
516.5,1.82011E+11
522,2.01806E+11
527.5,2.21094E+11
533,2.39875E+11
538.5,2.58146E+11
544,2.75907E+11
549.5,2.93156E+11
555,3.09893E+11
560.5,3.26116E+11
566,3.41823E+11
571.5,3.57004E+11
577,3.7165E+11
582.5,3.85765E+11
588,3.99355E+11
593.5,4.12423E+11
599,4.24976E+11
604.5,4.37018E+11
610,4.48553E+11
615.5,4.59587E+11
621,4.70123E+11
626.5,4.80168E+11
632,4.89725E+11
637.5,4.98785E+11
643,5.07337E+11
648.5,5.15381E+11
654,5.22919E+11
659.5,5.29951E+11
665,5.36478E+11
670.5,5.42503E+11
676,5.48025E+11
681.5,5.53046E+11
687,5.57566E+11
692.5,5.61588E+11
698,5.65112E+11
703.5,5.6814E+11
709,5.70677E+11
714.5,5.72725E+11
720,5.74276E+11
725.5,5.75322E+11
731,5.75856E+11
736.5,5.75869E+11
742,5.75353E+11
747.5,5.743E+11
753,5.72703E+11
758.5,5.70553E+11
764,5.67844E+11
769.5,5.64565E+11
775,5.59946E+11
780.5,5.53409E+11
786,5.45244E+11
791.5,5.35739E+11
797,5.25181E+11
802.5,5.1386E+11
808,5.02063E+11
813.5,4.90078E+11
819,4.78194E+11
824.5,4.66699E+11
830,4.55881E+11
835.5,4.46028E+11
841,4.37429E+11
846.5,4.28842E+11
852,4.18998E+11
857.5,4.08138E+11
863,3.96507E+11
868.5,3.84347E+11
874,3.71903E+11
879.5,3.59418E+11
885,3.47135E+11
890.5,3.35297E+11
896,3.24148E+11
901.5,3.13931E+11
907,3.04889E+11
912.5,2.96421E+11
918,2.87795E+11
923.5,2.79064E+11
929,2.70279E+11
934.5,2.61493E+11
940,2.52757E+11
945.5,2.44124E+11
951,2.35646E+11
956.5,2.27374E+11
962,2.19361E+11
967.5,2.11658E+11
973,2.04317E+11
978.5,1.97392E+11
984,1.9086E+11
989.5,1.84647E+11
995,1.78718E+11
1000.5,1.73041E+11
1006,1.6758E+11
1011.5,1.62303E+11
1017,1.57177E+11
1022.5,1.52167E+11
1028,1.47241E+11
1033.5,1.42364E+11
1039,1.37504E+11
1044.5,1.32626E+11
1050,1.27848E+11
1055.5,1.23295E+11
1061,1.18948E+11
1066.5,1.14787E+11
1072,1.10792E+11
1077.5,1.06945E+11
1083,1.03225E+11
1088.5,99612105792
1094,96087548606
1099.5,92631385490
1105,89223987285
1110.5,85845724831
1116,82476968966
1121.5,79233317562
1127,76224726907
1132.5,73423105467
1138,70800361711
1143.5,68328404104
1149,65979141115
1154.5,63724481209
1160,61536332855
1165.5,59386604520
1171,57247204670
1176.5,55090041773
1182,52887024296
1187.5,50748316383
1193,48788860784
1198.5,46987733868
1204,45324012007
1209.5,43776771573
1215,42325088936
1220.5,40948040467
1226,39624702539
1231.5,38334151522
1237,37055463787
1242.5,35767715705
1248,34449983648
1253.5,33081343987
1259,31763874611
1264.5,30598790121
1270,29563871959
1275.5,28636901563
1281,27795660374
1286.5,27017929832
1292,26281491376
1297.5,25564126447
1303,24843616485
1308.5,24097742929
1314,23304287220
1319.5,22441030797
1325,21565555173
1330.5,20746211743
1336,19976936770
1341.5,19251666514
1347,18564337240
1352.5,17908885209
1358,17279246684
1363.5,16669357927
1369,16073155201
1374.5,15484574768
1380,14897552891
1385.5,14306025831
1391,13703929851
1396.5,13110806699
1402,12548783267
1407.5,12015673537
1413,11509291493
1418.5,11027451115
1424,10567966387
1429.5,10128651290
1435,9707319808
1440.5,9301785922
1446,8909863615
1451.5,8529366869
1457,8158109666
1462.5,7801517781
1468,7466184602
1473.5,7151675529
1479,6857555962
1484.5,6583391302
1490,6328746948
1495.5,6093188302
1501,5876280763
1506.5,5677589732
1512,5496680610
1517.5,5333118795
1523,5186469690
1528.5,5056298694
1534,4941422822
1539.5,4841351385
1545,4756688233
1550.5,4688037215
1556,4636002178
1561.5,4601186972
1567,4584195446
1572.5,4585631447
1578,4606098825
1583.5,4646201427
1589,4706543104
1594.5,4787727703
